Query ID,Winner,BM25_nDCG@10,Dense_nDCG@10,Hybrid_RRF_nDCG@10,Hybrid_Rerank_nDCG@10
test_query124,Hybrid (RRF),0.6410457898283652,0.9363792118010483,1.0,0.8200685179888283
test_query125,BM25,1.0,1.0,1.0,0.9363792118010483
test_query126,Dense,0.6364741801035539,0.9266360779006401,0.8263333286520083,0.6461194268314837
test_query127,Hybrid (RRF),0.866947989864271,0.7538142945344393,0.9266360779006401,0.8364586133797037
test_query128,Hybrid (RRF),0.727329844310522,0.6114735274236563,0.7695261902392829,0.727329844310522
test_query129,Dense,0.756902106715231,0.9363792118010483,0.9363792118010483,0.9363792118010483
test_query130,Dense,0.6489315753318465,0.684383072597662,0.4985723557253838,0.5473983622993502
test_query131,Hybrid + Rerank,0.0,0.0,0.0,0.06362078819895171
test_query132,Hybrid (RRF),0.7312625444731047,0.857980942822373,0.9266360779006401,0.6500332220485792
test_query133,BM25,0.857980942822373,0.6594803070902429,0.7753366239771086,0.7791714369672127
test_query134,BM25,1.0,0.7136540102475308,1.0,0.8364586133797037
test_query135,BM25,0.7846170207230129,0.5232512984721256,0.6898286563534621,0.7280855459907165
test_query136,Dense,0.5637884576902256,0.914856882358379,0.7849818707050383,0.7538142945344393
test_query137,Hybrid (RRF),0.652370608445272,0.6028078051365983,0.684383072597662,0.677273373952691
test_query138,Hybrid + Rerank,0.9052116356304493,0.43231813227099475,0.800693766409882,0.9363792118010483
test_query139,Dense,0.07839826897867533,0.3321737110889728,0.2082936658103318,0.24966402870278917
test_query140,Hybrid (RRF),0.7065836017263629,0.46081298306235335,0.8482378089219645,0.6569815082938864
test_query141,Hybrid + Rerank,0.17993148201117176,0.1736666713479918,0.17630010660342912,0.1884441521277154
test_query142,BM25,1.0,1.0,1.0,1.0
test_query143,BM25,0.6352557412688555,0.4220949603708207,0.6156886473955918,0.5431008121547419
test_query144,BM25,1.0,0.933745776545611,1.0,0.9216017310213247
test_query145,Dense,0.1610425878239398,0.5036067026046991,0.1584091525685025,0.08514311764162098
test_query146,Dense,0.762416491594312,1.0,0.866947989864271,1.0
test_query147,Hybrid (RRF),0.38113435412202,0.40067051810063,0.4636440365082036,0.4472539411173282
test_query148,Hybrid (RRF),0.9266360779006401,0.756902106715231,0.9363792118010483,0.8415908474314976
test_query149,Hybrid (RRF),0.727329844310522,0.5173633627401372,0.7967610662472993,0.727329844310522
test_query150,BM25,0.5637884576902256,0.22009176629808017,0.5473983622993502,0.42257499837058643
test_query151,Hybrid (RRF),0.7059054020403313,0.7479350596733328,0.7600791051976192,0.636658712740428
test_query152,Dense,0.914856882358379,1.0,1.0,0.7799082337019199
test_query153,Dense,0.5430029249822634,0.5894280199323518,0.5231737964779628,0.4569970750177365
test_query154,Dense,0.6325414799409712,0.7909506325094737,0.7846170207230129,0.6136525857537393
test_query155,Dense,0.9266360779006401,1.0,1.0,0.9363792118010483
test_query156,Hybrid (RRF),0.3436966913921454,0.33798414482679834,0.457957694513121,0.45166722277552973
test_query157,Hybrid + Rerank,0.43780685607566444,0.3679212572135327,0.30701473034246535,0.5958595188912912
test_query158,Dense,0.800693766409882,0.9363792118010483,0.9305687780632227,0.866947989864271
test_query159,Dense,0.7917267193679839,0.8630152897016883,0.8630152897016883,0.8454256604216017
test_query160,Dense,0.933745776545611,1.0,0.933745776545611,0.9363792118010483
test_query161,Dense,0.933745776545611,1.0,1.0,1.0
test_query162,BM25,0.933745776545611,0.772837825180752,0.866947989864271,0.9305687780632227
test_query163,Hybrid (RRF),0.5993294818993699,0.5036067026046991,0.7007731679885374,0.6901935063354876
test_query164,Hybrid (RRF),0.43808927588501717,0.45166722277552973,0.45184593602045525,0.3783033006761697
test_query165,BM25,0.5933607200949346,0.2980272981222516,0.3683756341388872,0.4936790360674166
test_query166,Hybrid + Rerank,0.6110191504983019,0.5766882048947064,0.5834330535576521,0.696162268139923
test_query167,BM25,1.0,0.5548010254700116,0.8701249883466593,0.9305687780632227
test_query168,Dense,0.9216017310213247,0.9266360779006401,0.8701249883466593,0.8572048559638628
test_query169,BM25,1.0,0.8643145546088337,1.0,1.0
test_query170,Hybrid + Rerank,0.5637884576902256,0.22009176629808017,0.5801476231864474,0.7125523635307982
test_query171,Hybrid (RRF),0.37185395737611554,0.25469837558210445,0.3843113526044082,0.36885567213865283
test_query172,Dense,0.5231534112996471,1.0,0.8482378089219645,0.6777277508780454
test_query173,Dense,0.4115325995630326,1.0,1.0,1.0
test_query174,Hybrid + Rerank,0.49828993591603105,0.3636237070689246,0.5232512984721256,0.5509662124799075
test_query175,BM25,0.9266360779006401,0.8263333286520083,0.8415908474314976,0.8899541168509599
test_query176,BM25,0.568003577662161,0.5645441593704201,0.5067837010870873,0.5572998242663684
test_query177,BM25,1.0,0.8701249883466593,1.0,1.0
test_query178,Hybrid + Rerank,0.26462022272743835,0.23177307466786254,0.2618080742270754,0.3241295975188817
test_query179,Dense,0.5473983622993502,0.8701249883466593,0.6207622843987103,0.6437684113853992
test_query180,Hybrid (RRF),0.800693766409882,0.70844095012329,0.933745776545611,0.8572048559638628
test_query181,BM25,1.0,0.9363792118010483,1.0,1.0
test_query182,BM25,0.7315449642824575,0.2583297509898471,0.539987338899539,0.7218018303820491
test_query183,Hybrid (RRF),0.914856882358379,0.9363792118010483,1.0,1.0
test_query184,BM25,0.933745776545611,0.28371255449703187,0.44793214080335986,0.5294438830372382
test_query185,BM25,1.0,0.857980942822373,1.0,0.933745776545611
